cycle_index,n_batteries,value_mean,value_median,value_std,value_lower_quantile,value_upper_quantile,value,aggregation_method,source_value_column
680.0,14,5.890555805808701,5.9262232478048045,0.2978435899324254,5.639116629217509,6.0731676688938,5.9262232478048045,median,C/D
681.0,14,5.920961620778533,5.9708814644888255,0.29990617754154025,5.656602755666011,6.102012973034442,5.9708814644888255,median,C/D
682.0,13,5.91667619852058,5.946023235031278,0.320645692958591,5.6212464387464385,6.081851678782911,5.946023235031278,median,C/D
683.0,14,6.045451219025655,5.950766806142216,0.5617675435644434,5.674773543891801,6.289579908275159,5.950766806142216,median,C/D
684.0,14,5.934350227560308,5.9484397346302025,0.3280315306533805,5.68742177707995,6.10673828610216,5.9484397346302025,median,C/D
685.0,14,5.939891837729319,5.958365809493838,0.3485831522873194,5.708021648364018,6.099520651195494,5.958365809493838,median,C/D
686.0,14,5.950180869913296,5.969220495093046,0.34462193078115494,5.711167253521127,6.090777310527596,5.969220495093046,median,C/D
687.0,14,5.958991134963504,5.966537626039354,0.3517486195821109,5.699553053086175,6.140121909215578,5.966537626039354,median,C/D
688.0,14,5.962781446925986,5.9697497756099995,0.3585469844283417,5.68699895813742,6.136205551316667,5.9697497756099995,median,C/D
689.0,14,5.966260060892458,5.974516127645803,0.34874762296029754,5.753948361886259,6.116370881969384,5.974516127645803,median,C/D
690.0,14,5.975948127709796,5.985066537008899,0.3539635600648253,5.722767843119776,6.1492588141786175,5.985066537008899,median,C/D
691.0,14,6.234823642837926,6.328371401400535,0.39920854836654207,5.891435936443543,6.493723430784388,6.328371401400535,median,C/D
692.0,5,6.130630541420787,6.145245504712531,0.44388813335896904,5.961115942028986,6.4044830679145015,6.145245504712531,median,C/D
693.0,12,7.054108931905083,7.099012101720823,1.0416262454783998,6.287995113629764,7.654546954674256,7.099012101720823,median,C/D
694.0,14,6.0520366793875535,5.9892622374285125,0.4257492830840626,5.713308342689642,6.177414492690179,5.9892622374285125,median,C/D
695.0,13,5.9129758333552775,5.923680612126149,0.3518942798196515,5.680564438759194,6.014671798100035,5.923680612126149,median,C/D
696.0,14,6.115744901687548,5.93120602461768,0.7811386406609115,5.70137432795699,6.026566318602866,5.93120602461768,median,C/D
697.0,13,5.945238590284142,5.927156432748538,0.3722409659420384,5.6427473899384015,5.996965515194682,5.927156432748538,median,C/D
698.0,14,6.045483471863079,5.935374669536996,0.5095479558323242,5.699880264384333,6.206370194617099,5.935374669536996,median,C/D
699.0,14,5.965452625247019,5.89158587736374,0.47705547700845996,5.653876702705235,6.015256501216789,5.89158587736374,median,C/D
700.0,14,5.950462380280968,5.905323719002258,0.41846312179297207,5.644803293007714,6.030536188556005,5.905323719002258,median,C/D
701.0,14,5.979426128366636,5.980259375853983,0.36581734939654276,5.693456437938883,6.135654938845106,5.980259375853983,median,C/D
702.0,14,5.9856629058766355,5.990731086907193,0.35342381513747423,5.700658847800635,6.1229143570717905,5.990731086907193,median,C/D
703.0,14,5.974799159508843,5.9920542569929705,0.35027753031393705,5.708036819646956,6.101367992806052,5.9920542569929705,median,C/D
704.0,14,5.992790811964425,6.036648278031696,0.3462990116253506,5.7060924298356746,6.103570572690029,6.036648278031696,median,C/D
705.0,14,6.008624465444075,6.021574806815021,0.3503582231839574,5.751332401050453,6.1046988267990905,6.021574806815021,median,C/D
706.0,14,6.045366004506211,6.015016204686171,0.36727772205666714,5.762378746819358,6.279891940807847,6.015016204686171,median,C/D
707.0,14,6.046828859164372,6.0544361674824465,0.3522475606805367,5.778040708378898,6.221688588978074,6.0544361674824465,median,C/D
708.0,14,6.033830635717253,6.034474845671772,0.3396870249611081,5.7781496881545245,6.143656839525384,6.034474845671772,median,C/D
709.0,14,6.044317928905455,6.051996916834598,0.33167622949802666,5.78394269744546,6.15438050215545,6.051996916834598,median,C/D
710.0,14,6.065373723248669,6.054656608034238,0.33882299421180434,5.785823361658505,6.185006611129119,6.054656608034238,median,C/D
711.0,14,6.079379169095882,6.077849908671739,0.3462261995297507,5.777571823208692,6.205584989791678,6.077849908671739,median,C/D
