package_path,source_repository_path,artifact_type,figure_ids,accepted_run,sha256,size_bytes,reason_for_inclusion,redistribution_status
configs/export-profiles.yaml,tools/scientific_figures/assets/export-profiles.yaml,figure_configuration,all,not-applicable,98ab3decb69128661648e782876408fa28791924e49c400df41c026cf8e749e7,3549,Required publication rendering configuration,included
configs/figure-config.yaml,config/figures.yaml,figure_configuration,all,not-applicable,7f2dc71c4f48d6247197a0d5fa54d3da4067242dda1a0c9c7a8714d14c8c56fa,1450,Required publication rendering configuration,included
configs/palette.yaml,tools/scientific_figures/assets/palette.yaml,figure_configuration,all,not-applicable,c8b7ee51bd7a22103b740bb48712ce24fe90203f87c2886e3aa470203370c348,6010,Required publication rendering configuration,included
configs/publication-double-column.mplstyle,tools/scientific_figures/assets/publication-double-column.mplstyle,figure_configuration,all,not-applicable,c831a567d3862f4dd02b3f3323087f992167a39db51e6bdf2c756ec651b2f8fe,1269,Required publication rendering configuration,included
configs/publication-full-page.mplstyle,tools/scientific_figures/assets/publication-full-page.mplstyle,figure_configuration,all,not-applicable,d7e12e6fbd55839ceef4d70113d87b5f0c541e38847a859223501566874529b7,1269,Required publication rendering configuration,included
data/frozen_results/h5/accepted_battery_scientific_summary.csv,results/runs/m5_h5_1_full_metric_final/tables/accepted_battery_scientific_summary.csv,frozen_analytical_artifact,fig_results_h5_transition_midpoints;fig_results_h5_slope_acceleration;fig_results_h5_selected_fits;fig_results_battery11_truncation,m5_h5_1_full_metric_final,97075380f4f1ae76557bd89b680430864b8fea31efa5125134bceaf248984004,5010,Required frozen plotting input,included
data/frozen_results/h5/accepted_population_scientific_summary.csv,results/runs/m5_h5_1_full_metric_final/tables/accepted_population_scientific_summary.csv,frozen_analytical_artifact,fig_results_h5_transition_midpoints;fig_results_h5_slope_acceleration;fig_results_battery11_truncation,m5_h5_1_full_metric_final,b05810b49b7035ec1251dd2ee703cd2b964901e9f9a35781d0049828f1af5107,1813,Required frozen plotting input,included
data/frozen_results/h5/regular_eligible_cycles.csv,results/runs/m5_h5_1_full_metric_final/data/regular_eligible_cycles.csv,frozen_analytical_artifact,fig_results_cd_trajectories,m5_h5_1_full_metric_final,d4b854940d0ff3300c133af3b7eaa37ef4183600123458b452df37407668be16,3149891,Required frozen plotting input,included
data/frozen_results/m4/changepoint_method_predictions.csv,results/runs/m4_changepoint_definitions/tables/changepoint_method_predictions.csv,frozen_analytical_artifact,fig_results_transition_definitions,m4_changepoint_definitions,08987141aa5c7a83d33bd8ba3b785d7107566f5baa31dbe461c94723589d2bda,401900,Required frozen plotting input,included
data/frozen_results/m4/changepoint_method_summary.csv,results/runs/m4_changepoint_definitions/tables/changepoint_method_summary.csv,frozen_analytical_artifact,fig_results_transition_definitions,m4_changepoint_definitions,9525990126fc66370bde89d17429858f9a2df84e6f1692826f6498e1bc783ab1,1451,Required frozen plotting input,included
data/frozen_results/m4/curvature_sensitivity.csv,results/runs/m4_changepoint_definitions/tables/curvature_sensitivity.csv,frozen_analytical_artifact,fig_results_transition_definitions,m4_changepoint_definitions,1ef47ed0002188884e5449dd8ac5d931c652a8e4279f1e69f41c39487f599815,321,Required frozen plotting input,included
data/frozen_results/m4/regular_eligible_cycle_aggregate.csv,results/runs/m4_bayesian_smooth/data/regular_eligible_cycle_aggregate.csv,frozen_analytical_artifact,fig_results_transition_definitions,m4_bayesian_smooth,4d468d35f5059951bacf8ae5f62a652df3ecf84d8ac80b13879b5cea1646c4e2,138892,Required frozen plotting input,included
data/frozen_results/m4/regular_eligible_cycle_aggregate_complete.csv,results/runs/m4_bayesian_smooth/data/regular_eligible_cycle_aggregate_complete.csv,frozen_analytical_artifact,fig_results_cd_trajectories,m4_bayesian_smooth,a7e99b336b9c2770c7c71b6cc6dbd8c86fa6efef9781ec029b07ee3a4f1a9f73,144900,Required frozen plotting input,included
data/frozen_results/m8/computational_diagnostics.csv,results/model_comparison/m8_extended_sensitivity_01/computational_diagnostics.csv,frozen_analytical_artifact,fig_results_random_thinning;fig_results_truncation_sensitivity,m8_extended_sensitivity_01,08fff5c0186f3a0f20fe823f3be445e867f3150300b34067b1cb0152c2f5b425,1084,Minimal diagnostic gate fields required by Figures 7 and 8,included
data/frozen_results/m8/data_mask_registry.csv,results/model_comparison/m8_extended_sensitivity_01/data_mask_registry.csv,frozen_analytical_artifact,fig_results_battery11_truncation,m8_extended_sensitivity_01,55834d1af3dfe5db112edfa4978bdffa40a00c2abfb8fe535aaaca4d05f4baaf,21080,Required frozen plotting input,included
data/frozen_results/m8/figure_data_h1_truncation_per_battery.csv,results/model_comparison/m8_extended_sensitivity_01/article_assets/figure_data_h1_truncation_per_battery.csv,frozen_analytical_artifact,fig_results_battery11_truncation,m8_extended_sensitivity_01,aec2fd527c978d5ea9841a7e49273b9d1c725d476c1087fc3c54d7f2d5ade165,7319,Required frozen plotting input,included
data/frozen_results/m8/post_transition_horizon_analysis.csv,results/model_comparison/m8_extended_sensitivity_01/post_transition_horizon_analysis.csv,frozen_analytical_artifact,fig_results_post_transition_horizon,m8_extended_sensitivity_01,f1f47f77effc1479259a7ae62a262d08411c87fcd3bedd1e9e2b36494cbe055a,25895,Required frozen plotting input,included
data/frozen_results/m8/random_thinning_seed_summary.csv,results/model_comparison/m8_extended_sensitivity_01/random_thinning_seed_summary.csv,frozen_analytical_artifact,fig_results_random_thinning,m8_extended_sensitivity_01,5aa0d025b03fbf4e374835bc155e4c14e8a471c5731478894bc20c85e5b8eeb8,2371,Required frozen plotting input,included
data/frozen_results/m8/stability_vs_full_data_a1.csv,results/model_comparison/m8_extended_sensitivity_01/stability_vs_full_data_a1.csv,frozen_analytical_artifact,fig_results_random_thinning,m8_extended_sensitivity_01,034a3bd8a145d8574542b8b116bd090dd1935a9f8dbcbe789c0134ba3ccbb42a,1818,Required frozen plotting input,included
data/frozen_results/m8/stability_vs_full_data_h1_per_battery.csv,results/model_comparison/m8_extended_sensitivity_01/stability_vs_full_data_h1_per_battery.csv,frozen_analytical_artifact,fig_results_random_thinning,m8_extended_sensitivity_01,45c9d1e90189a527a17dc5a992829cb433f92e77add246ec467d277f67aee731,25073,Required frozen plotting input,included
data/frozen_results/m8/stability_vs_full_data_h1_population.csv,results/model_comparison/m8_extended_sensitivity_01/stability_vs_full_data_h1_population.csv,frozen_analytical_artifact,fig_results_random_thinning,m8_extended_sensitivity_01,b6ddfbfd36329772dc7dc6704c53144571962ef98535e5669cbd7735d6858a14,1755,Required frozen plotting input,included
data/frozen_results/m8/truncation_summary.csv,results/model_comparison/m8_extended_sensitivity_01/truncation_summary.csv,frozen_analytical_artifact,fig_results_truncation_sensitivity,m8_extended_sensitivity_01,93d86762c43e84cad3c35b1caea679ff69711930fa4880f45ed6cac95e494ce7,3473,Required frozen plotting input,included
data/frozen_results/ppc/ppc_binned_residuals.csv,results/diagnostics/m5_h5_1_full_metric_final/ppc/ppc_binned_residuals.csv,frozen_analytical_artifact,fig_results_h5_ppc,m5_h5_1_full_metric_final,6f61e0f7a2992987034b6206fc88163fdaf4b55169ceef353b0145b04d6f1157,10210,Required frozen plotting input,included
data/frozen_results/ppc/ppc_overall_summary.json,results/diagnostics/m5_h5_1_full_metric_final/ppc/ppc_overall_summary.json,frozen_analytical_artifact,fig_results_h5_ppc,m5_h5_1_full_metric_final,13276f39f3e60c3eb369007d8afa98d3c7908c732521c88cdb8cba3b779cc5ba,902,Required frozen plotting input,included
data/frozen_results/ppc/ppc_per_battery_summary.csv,results/diagnostics/m5_h5_1_full_metric_final/ppc/ppc_per_battery_summary.csv,frozen_analytical_artifact,fig_results_h5_ppc,m5_h5_1_full_metric_final,e8caec57732856ed8ad8a992eb642071c292e127b8a7b47252e99d8372454418,7561,Required frozen plotting input,included
data/frozen_results/ppc/ppc_trajectory_summary.csv,results/diagnostics/m5_h5_1_full_metric_final/ppc/ppc_trajectory_summary.csv,frozen_analytical_artifact,fig_results_h5_selected_fits;fig_results_battery11_truncation,m5_h5_1_full_metric_final,40229643f09c9e49934e8dda0c1c3a79c4fa0b7026c9792f70995b33a1d545df,2863668,Required frozen plotting input,included
data/frozen_results/table_sources/h5_config_resolved.yaml,results/runs/m5_h5_1_full_metric_final/config_resolved.yaml,computed_table_source,computed manuscript tables,see table_manifest.yaml,051fb2110ccab68017b83dbf1c9d3cb8f9b1cb02c36950263374e0dc547b1f4f,8480,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/h5_exact_parameter_diagnostics.csv,results/runs/m5_h5_1_full_metric_final/tables/exact_parameter_diagnostics.csv,computed_table_source,computed manuscript tables,see table_manifest.yaml,42bf761c1687037efbd47fdd64aaedb3919028c580917ca4fdee288fc957e991,17269,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/h5_hierarchical_diagnostics.json,results/runs/m5_h5_1_full_metric_final/metadata/hierarchical_diagnostics.json,computed_table_source,computed manuscript tables,see table_manifest.yaml,c214903fd9e3839b510ad00dd92915e524672a9eb828be5949d2d27fa1daf138,1840,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/m4_bayesian_diagnostics.json,results/runs/m4_bayesian_smooth/metadata/bayesian_diagnostics.json,computed_table_source,computed manuscript tables,see table_manifest.yaml,5a28943501e49739ab7caff3c5f00eda15f7a94e11e36e30f6e2731dcb9f77dc,274,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/m4_config_resolved.yaml,results/runs/m4_bayesian_smooth/config_resolved.yaml,computed_table_source,computed manuscript tables,see table_manifest.yaml,32a844ac3dbf4535746710084e34756f5b5695c92a4929ec570770d3091893d0,8380,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/m4_curvature_stability.json,results/runs/m4_changepoint_definitions/metadata/curvature_stability.json,computed_table_source,computed manuscript tables,see table_manifest.yaml,0971d6675100a7bfc563e23c3db8c6d4a373ac36c6a136a9c49d571be8385b63,769,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/m4_transition_summary.csv,results/runs/m4_bayesian_smooth/tables/transition_summary.csv,computed_table_source,computed manuscript tables,see table_manifest.yaml,8701ab3fc924e7c51e2887f5f99ae11089b52a493c5ee2622e0ee3c6e72a3045,2155,Frozen accepted source required for deterministic table regeneration,included
data/frozen_results/table_sources/preprocessing_summary.json,results/runs/m4_bayesian_smooth/metadata/preprocessing_report.json,computed_table_source,computed manuscript tables,see table_manifest.yaml,5b06fba96daf457ae4f2104192e551a8150ac1f678d6100c5c0901e41bca7fef,634,Frozen accepted source required for deterministic table regeneration,included
docs/TABLE_MANIFEST.md,generated from active docs/latex paper inputs,table_manifest,all active tables,not-applicable,50b16a83433afd0c2a1592154e14b1dd3b000f7a2f22a6f01d4b1ed87a4590fc,2495,Human-readable active table manifest,included
figures/reference/fig_results_battery11_truncation.pdf,figures/scratch/publication/fig_results_battery11_truncation.pdf,reference_figure,fig_results_battery11_truncation,accepted publication render,6fea7c54e18c876219ef97fe931748d33fdff7e3453e2ac7b2ee898ddbce2bce,159899,Accepted comparison artifact,included
