Battery_ID,bin,cycle_normalized_midpoint,n_observations,residual_mean,residual_median,absolute_residual_mad
4,2,0.18489714340099794,133,-0.008428914597134579,-0.011327879689585707,0.005816950706060808
4,3,0.31144543093719834,133,-0.0251892609923116,-0.02246541125154433,0.0187247667213839
4,4,0.4462969960324958,134,0.04515335306843889,0.03899024427416764,0.022423944148720842
4,5,0.569280343716434,133,0.03059919862588448,-0.009724599908890852,0.017505304575397673
4,6,0.6919808562998817,133,0.059898562027166063,0.01757327912429041,0.013336750955017074
4,7,0.8160478048647841,133,0.012711780559262713,-0.03939573392546336,0.031384518396242456
4,8,0.9396440042104127,134,0.0748608579187928,0.032796828028740954,0.027673816463754886
5,1,0.06110129564193169,132,-0.18662438736913436,-0.01271194347473692,0.00994335990051054
5,2,0.179315237177428,132,0.022803721542380476,0.01855833140811125,0.012766065076826205
5,3,0.30331807474033623,132,0.012126404674217234,-0.003345729694026911,0.012147262392014024
5,4,0.4346024070777651,133,0.004773712793005416,-0.01426269192355445,0.023388870232810888
5,5,0.5537798479494592,132,-0.023088696792169797,-0.06503606013022045,0.022487563188932302
5,6,0.6770666024199593,132,0.14511920236685477,0.13223136719499085,0.05885630703097178
5,7,0.8154781025805762,132,0.02271767387526823,-0.043540268148403616,0.05821035172830058
5,8,0.9406333855841017,133,0.10124986984937832,0.0077260980244915345,0.04769485916666927
6,1,0.06392001802872305,133,-0.17337084809404257,-0.013698953739020858,0.01168287328011175
6,2,0.18665191589327543,133,0.02982829513984975,0.0265767421912928,0.013841433373139367
6,3,0.31329003708180536,133,-0.012431006333419325,-0.01264810883194567,0.016038796341270256
6,4,0.447064527804525,133,-0.04652708604133759,-0.046292058779974,0.02750442048941526
6,5,0.5703017762389625,133,-0.019827395303121338,-0.0268810067849925,0.04698516784502793
6,6,0.6940648624285509,133,0.21860065192419997,0.11325321863202831,0.0922093975369398
6,7,0.8172269911836813,133,0.046430246113376455,-0.054766550981923956,0.054998156984391144
6,8,0.9398291368748847,133,0.1789990678028762,0.016629121216777065,0.035141042674059264
7,1,0.06299881711512054,133,-0.15783224246413577,-0.0011470996667553024,0.006281371760739951
7,2,0.18489714340099794,133,0.002487703595201252,-0.0013316449800342411,0.0051835303595142435
7,3,0.31179893676324627,133,0.004217598776694213,-0.01286797538659723,0.0132913621948072
7,4,0.44540633181290645,134,0.05750419740125584,-0.0007665394492968325,0.03114769899979386
7,5,0.5683489918285769,133,0.025628269044602154,-0.03905071239816316,0.01957553337041862
7,6,0.6910698989789119,133,0.16008076012780337,0.10432564893874297,0.04933986463943363
7,7,0.8156603080939238,133,0.02900234311129379,-0.08464322846162897,0.04530431382043165
7,8,0.9396440042104127,134,0.19991760702771355,0.036682215004198326,0.04604424991098455
8,1,0.06317016475913263,133,-0.19677175220276316,-0.011477363187896827,0.01052716293903977
8,2,0.18602717128269447,133,0.02709238070477393,0.024068599758437337,0.01068530182068006
8,3,0.31302190198978863,133,-0.0044028535572851815,-0.004551407832818377,0.010497345760513532
8,4,0.4471996319400279,134,-0.03252878376943882,-0.02618786397519468,0.015260690866688797
8,5,0.5706173866215858,133,-0.07076684500993581,-0.07196964197905853,0.033235389364235424
8,6,0.6931131091554817,133,0.24363601399420942,0.13431067786522988,0.0488008742580881
8,7,0.8164063831382626,133,-0.023341223732602747,-0.014540395198498146,0.03224361145382293
8,8,0.9394798446570413,134,0.0849422444153744,-0.01205407212850762,0.025982636292814387
9,1,0.06299881711512054,133,-0.14784079240073975,0.005493544246366611,0.006917281173633327
9,2,0.18489714340099794,133,-0.002917467396874559,-0.0060568242152241325,0.005277107968669981
9,3,0.3110375395994507,133,0.02418972267063756,-0.017119707744783774,0.02296458840649951
9,4,0.4453658470756524,134,0.03763765625497572,0.009224986656561018,0.023508106283154362
9,5,0.5680158805694163,133,0.012081590575345382,-0.004544447652707007,0.01248075863242537
9,6,0.6910698989789119,133,0.09083100439032842,0.05969561559905845,0.04095520815058862
9,7,0.8156195189601491,133,0.015495267826790766,-0.07444290970152867,0.041539014342720115
9,8,0.9396440042104127,134,0.16347309426024983,0.04332210250472368,0.047392931188617204
10,1,0.06299881711512054,133,-0.16623239943274642,-0.007339188301111577,0.007404804827154443
