model_id,scenario_id,battery_id,tau_shift_cycles,tau_shift_fraction_of_full_range,tau_hdi_width_ratio,delta_beta_shift,delta_beta_hdi_width_ratio,probability_positive_change,boundary_status_changed,tau_distance_to_observed_end,boundary_status,boundary_status_r0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,8,-9.644066383797849,-0.008680527798197883,1.3719750200394192,2.484244016760003e-05,1.4031973251746395,1.0,False,660.9978152567285,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,9,1.9803994705014247,0.0017825377772290052,1.3765373377860801,0.00010463095950700042,1.4623594476775623,1.0,False,497.23372490782015,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,10,-1.5450421416008453,-0.0013906769951402748,1.4048568535684294,1.8761952379799975e-05,1.3641686537905622,1.0,False,665.9207755538429,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,11,-31.248133793890247,-0.028126133027804003,1.273746594044338,-0.0004627001919941002,1.1269981960182949,1.0,False,209.41803522398004,boundary_sensitive,boundary_sensitive
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,12,-15.380285138554257,-0.013843640988797711,1.3961434327771038,9.453140491970033e-05,1.4985265732081208,1.0,False,620.1996908874737,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,13,2.2226923557655027,0.0020006231825072033,1.3951998471132683,1.8881532946300045e-05,1.3610383504831414,1.0,False,674.8122445259103,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,14,1.2680957298742896,0.0011414002969165524,1.333268187995938,9.713471455200136e-06,1.3186108930468938,1.0,False,757.9468858238739,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,1,9.91772455863918,0.008926844787253987,1.4542350798901866,8.460728092189989e-05,1.498192905703265,1.0,False,545.9589882721289,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,2,-17.04499301418207,-0.015342027915555417,1.450572338737867,-4.411835311889968e-05,1.4134643586240339,1.0,False,544.9131188281384,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,3,1.086621017151515,0.0009780567211084743,1.53106991193211,9.512634066010002e-05,1.4198382784901902,1.0,False,398.5365457024302,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,4,2.558685709665724,0.002303047443443496,1.4452481020191725,8.122742998589987e-05,1.5028930108640277,1.0,False,412.09581336616407,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,5,7.322578826812332,0.006590980042135312,1.5563907311408036,1.3677208361100208e-05,1.4528012267016854,1.0,False,588.2257445184496,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,6,14.414622775813541,0.01297445794402659,1.437099629779116,5.0593582341199386e-05,1.4068966180002456,1.0,False,640.1049078301805,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,7,-12.26937569269603,-0.011043542477674195,1.4673026004888108,0.00011631157163299963,1.496022521384021,1.0,False,606.9606272326014,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,8,-24.519743499850733,-0.022069976147480408,1.4693989225040875,0.0001000348307823003,1.5203668392036458,1.0,False,675.8734923727814,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,9,4.320472444460506,0.003888814081422598,1.4273614954565725,0.00013313168752330032,1.4522169077331124,1.0,False,494.89365193386107,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,10,10.729087433861537,0.009657144404915875,1.4164633904850898,3.2979110469993217e-06,1.358899056534379,1.0,False,653.6466459783805,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,11,-32.85994849871258,-0.029576911339975323,1.3906411109615255,-0.00045737102342000013,1.2310761390884513,1.0,False,211.0298499288024,boundary_sensitive,boundary_sensitive
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,12,-12.363531110599126,-0.011128290828622076,1.3713623557036316,0.00010032770323229996,1.4605882312114091,1.0,False,617.1829368595186,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,13,-0.3889336856713612,-0.00035007532463668877,1.486604185085732,9.050609086180047e-05,1.4788601828139827,1.0,False,677.4238705673472,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,14,7.472807847266154,0.006726199682507789,1.317012078163277,3.7353506954800574e-05,1.32067307998468,1.0,False,751.742173706482,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,1,-159.40347288168726,-0.14347747334085262,0.7309046896697831,-0.0033488480187135,0.43276813774047657,1.0,False,270.28018571245525,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,2,-190.53134120794755,-0.17149535662281506,1.5283710375819155,-0.0049334461090663,0.41430099451742863,1.0,False,275.3994670219039,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,3,-378.1988992495179,-0.34041305062962907,0.6057760139287274,-0.0036255222568333002,0.2523274342951939,1.0,False,334.82206596909964,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,4,-341.89918763278456,-0.3077400428737935,0.5828484208961495,-0.0038359076932391,0.2698292000145866,1.0,False,313.55368670861435,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,5,-86.00350033009852,-0.0774108913862273,0.9972892025413708,-0.0035816285825435,0.82183338023305,1.0,False,228.5518236753604,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,6,-53.970486881098054,-0.048578296022590506,0.696130383334272,-0.004607623136625,0.5302339401904849,1.0,False,267.49001748709213,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,7,-155.521005597096,-0.13998290332771918,0.5055881062399697,-0.0045764256259528,0.35049955721165377,1.0,False,307.21225713700136,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,8,-51.653433467624325,-0.04649273939480137,0.6067036757711189,-0.0028117327182599,0.45096356824151274,1.0,False,261.00718234055495,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,9,-235.6712241116586,-0.21212531423191594,0.46066134328154146,-0.0036480528690995997,0.3542045169787928,1.0,False,291.8853484899802,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,10,-18.617931862276066,-0.01675781445749421,0.5028524077532172,-0.0021881824622153,0.7207703760762127,1.0,False,239.9936652745181,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,11,-502.894343893407,-0.45265017452151846,0.19433114830595732,-0.0043543434793586,0.15189181472118818,1.0,True,238.0642453234968,identified,boundary_sensitive
H1_hierarchical_h5_1,R4_truncate_60,12,-74.55893573754827,-0.06710975313910734,0.3279810374026699,-0.0011283763906357997,0.7440791124567393,1.0,False,236.37834148646772,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,13,-8.042282687570491,-0.007238778296643106,0.40397571264162274,-0.0016062050902420997,0.6570909423557426,1.0,False,240.07721956924627,identified,identified
H1_hierarchical_h5_1,R4_truncate_60,14,71.33550337623802,0.06420837387600183,0.3275075158126595,-0.0017258992630340996,0.5043250342498541,1.0,False,243.87947817751015,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,1,264.97909550403085,0.2385050364572735,1.9778231425292399,0.012392134194940101,25.01842896984803,1.0,False,-43.10238267326281,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,2,318.2713611053208,0.28647287228201695,1.6828791371169503,0.0311754786022136,33.79085883364919,1.0,False,-122.40323529136448,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,3,-212.6099763782858,-0.19136811555201244,1.3771987265777483,-0.0023905320776202005,0.7527877262238251,1.0,False,280.2331430978675,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,4,-250.15407970533477,-0.22516118785358666,1.0379461577399043,-0.0027709798024167,0.4932375722582842,1.0,False,332.80857878116456,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,5,179.47997376770513,0.16154813120405503,1.4735583973249136,0.0055741368339870005,6.872025584380069,1.0,False,61.06834957755677,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,6,160.44186344231161,0.14441211830991144,1.249030331078137,0.002143178284214199,2.595195252927899,1.0,False,163.07766716368246,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,7,-6.093142643933277,-0.005484376817221671,0.9027764760898518,-0.0012737205739148999,0.8242889264305123,1.0,False,268.78439418383863,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,8,305.6470662494013,0.2751098706115223,1.5068679474109536,0.0077087545904949,13.488823131439343,1.0,False,14.706682623529332,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,9,-82.26567691640264,-0.07404651387615,0.9760935534719135,-0.0013621620663847,1.0980275155412362,1.0,False,249.4798012947242,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,10,35.50519870388331,0.031957874620957075,0.7063603314369037,-0.0008473914122722002,0.7894374628759938,1.0,False,296.8705347083587,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,11,-595.809486449954,-0.5362821660215608,0.4911339612977154,-0.004550148265865901,0.16612043610100624,1.0,True,441.97938788004376,identified,boundary_sensitive
H1_hierarchical_h5_1,R4_truncate_70,12,-113.73687358330398,-0.10237342356733031,0.5760351605478988,-0.0008610666070061998,0.6358428968575102,1.0,False,386.5562793322234,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,13,-11.543266567319165,-0.010389978908478096,0.6278472367246973,-0.0010857763751423995,0.574542041828907,1.0,False,354.57820344899494,identified,identified
H1_hierarchical_h5_1,R4_truncate_70,14,67.3886828561939,0.060655880158590365,0.5139550739989405,-0.0010796868773331,0.4275619783842443,1.0,False,358.8262986975543,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,1,55.47845597949561,0.04993560394194024,0.75934861322686,-0.0001565324130070999,1.7242968470447233,1.0,False,222.39825685127244,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,2,98.22623818463285,0.08841245561173074,0.8642687447219329,0.0015623968738192008,3.0729197163662882,1.0,False,152.6418876293235,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,3,-193.6541321067176,-0.17430614951099696,0.9819511016925909,-0.0024732625634356,0.5274540187367247,1.0,False,316.27729882629933,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,4,-226.24667494684604,-0.20364237168933036,0.8155310784856368,-0.0028585794769895,0.39783295284127423,1.0,False,363.90117402267583,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,5,22.46128433464787,0.020217177618944978,0.5959816754084107,-0.0010577273869833998,0.8789435362013325,1.0,False,290.08703901061403,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,6,55.000765092147276,0.04950563914684723,0.6449503056387184,-0.001667498731841,0.6434567342099827,1.0,False,323.5187655138468,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,7,-48.448324025175225,-0.043607852407898495,0.6055336386984443,-0.0024534584839173,0.4618320116401406,1.0,False,366.1395755650806,identified,identified
