model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_70,9,0.7,607.7858756216784,584.261676797539,630.8485534161284,775.0,167.21412437832157,0.1511881775572527,False,False,False,short_post_transition,-82.26567691640264,82.26567691640264,0.0743812630347221,0.9760935534719136,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,10,0.7,442.624266587758,420.47965173088585,464.90104889940767,775.0,332.375733412242,0.3005205546222803,False,False,False,moderate_post_transition,35.50519870388331,35.50519870388331,0.0321023496418474,0.7063603314369037,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,11,0.7,928.8300985699102,880.3488067382998,974.8137717199372,775.0,-153.8300985699102,-0.1390868883995571,True,True,False,pre_transition,-595.809486449954,595.809486449954,0.5387065881102658,0.4911339612977154,1.0,extrapolation,identified,boundary_sensitive,True,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,12,0.7,502.18059425108055,462.3267053307612,541.3941269610359,775.0,272.81940574891945,0.2466721570966722,False,False,False,moderate_post_transition,-113.73687358330398,113.73687358330398,0.1028362328962965,0.5760351605478988,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,13,0.7,435.9650631183242,410.67108980656496,463.0170693088105,779.0,343.0349368816758,0.3084846554691329,False,False,False,moderate_post_transition,-11.543266567319163,11.543266567319163,0.0103806354022654,0.6278472367246973,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,14,0.7,351.7850184462518,324.7975674246435,376.2823776163491,778.0,426.2149815537482,0.3839774608592326,False,False,False,long_post_transition,67.3886828561939,67.3886828561939,0.0607105250956701,0.5139550739989405,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,1,0.6,556.123287169232,533.0397699937452,577.6560130279138,667.0,110.87671283076804,0.0997990214498362,False,False,False,short_post_transition,-159.40347288168726,159.40347288168726,0.1434774733408526,0.7309046896697831,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,2,0.6,579.1318741860437,559.9238690887914,598.1479785473354,664.0,84.86812581395634,0.0767342909710274,False,False,False,short_post_transition,-190.53134120794755,190.53134120794755,0.1722706520867518,1.5283710375819155,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,3,0.6,707.3768332804183,683.0051066445205,735.4344526187701,664.0,-43.37683328041828,-0.0392195599280454,True,True,False,pre_transition,-378.1988992495179,378.1988992495179,0.3419519884715352,0.6057760139287274,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,4,0.6,692.3455009241702,669.0920201542629,715.8970568842793,664.0,-28.34550092417021,-0.0256288435119079,True,True,False,pre_transition,-341.89918763278456,341.89918763278456,0.3091312727240367,0.5828484208961495,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
