Battery_ID,scenario_id,tau_median,tau_hdi_95_lower,tau_hdi_95_upper,probability_delta_beta_positive,boundary_status
13,R4_truncate_90,424.9660177965433,414.82352876679994,434.95840517671775,1.0,identified
14,R4_truncate_90,373.99950285693774,363.9296434630066,383.8776148004072,1.0,identified
1,R4_truncate_80,568.2571497192926,557.2312976328196,579.553445727437,1.0,identified
2,R4_truncate_80,632.0150651706433,621.1797524285906,642.5033571296037,1.0,identified
3,R4_truncate_80,537.7528036140575,518.5069332754896,557.825565739674,1.0,identified
4,R4_truncate_80,494.5196128941211,477.4921272187688,511.0532923237217,1.0,identified
5,R4_truncate_80,546.5915291940726,537.5966448695467,555.1860597493773,1.0,identified
6,R4_truncate_80,476.9700265321288,469.2101966721641,484.826718987624,1.0,identified
7,R4_truncate_80,446.4611525305333,438.88082379884514,454.0777820592085,1.0,identified
8,R4_truncate_80,544.136286876812,532.1950361318878,556.7150515206134,1.0,identified
9,R4_truncate_80,463.8052026659072,452.0856448461192,473.0885409696718,1.0,identified
10,R4_truncate_80,435.9074170251197,426.3645095251042,444.95030496309494,1.0,identified
11,R4_truncate_80,331.2792302315273,316.9521258238481,344.61421394073886,1.0,identified
12,R4_truncate_80,396.8746931026168,382.09923805139334,411.9221438714492,1.0,identified
13,R4_truncate_80,423.77309734425535,412.5116327767487,435.17841311819825,1.0,identified
14,R4_truncate_80,388.31548398089154,378.9178002477181,396.3608320056186,1.0,identified
1,R4_truncate_70,821.1023826732628,776.032412001081,864.2754500067687,1.0,identified
2,R4_truncate_70,897.4032352913645,863.2763896207446,927.6029459634028,1.0,identified
3,R4_truncate_70,494.7668569021325,462.05313774743826,534.258766258479,1.0,identified
4,R4_truncate_70,442.19142121883544,418.67686991175896,467.25797794855464,1.0,identified
5,R4_truncate_70,716.9316504224432,691.1151849572489,744.8432324835779,1.0,identified
6,R4_truncate_70,607.9223328363175,586.4407463769367,627.6325340404833,1.0,identified
7,R4_truncate_70,506.21560581616137,492.46107838076614,520.2061430170759,1.0,identified
8,R4_truncate_70,758.2933173764707,720.4037031023508,795.6232925850405,1.0,identified
9,R4_truncate_70,525.5201987052758,502.5656439346532,548.0387938784497,1.0,identified
10,R4_truncate_70,478.1294652916413,463.59036414313965,494.96787696998706,1.0,identified
11,R4_truncate_70,333.02061211995624,310.4060283587137,356.80098081399524,1.0,identified
12,R4_truncate_70,388.4437206677766,365.1069419601617,410.6525568730654,1.0,identified
13,R4_truncate_70,424.42179655100506,408.0179644638632,440.88324304799573,1.0,identified
14,R4_truncate_70,419.1737013024457,405.581905666532,432.04278509843147,1.0,identified
1,R4_truncate_60,396.7198142875447,380.0607528341003,412.67097410322094,1.0,identified
2,R4_truncate_60,388.6005329780961,358.867934259354,417.2885560931535,1.0,identified
3,R4_truncate_60,329.17793403090036,313.11359258573117,344.87403280290226,1.0,identified
4,R4_truncate_60,350.44631329138565,337.06481822069344,364.3450599687698,1.0,identified
5,R4_truncate_60,451.4481763246396,431.3171691538387,467.67976039481744,1.0,identified
6,R4_truncate_60,393.50998251290787,382.20247559943994,405.1601686377644,1.0,identified
7,R4_truncate_60,356.78774286299864,349.21508381733025,364.7533427978193,1.0,identified
8,R4_truncate_60,400.99281765944505,386.4529244398271,416.73825999796446,1.0,identified
9,R4_truncate_60,372.1146515100198,361.5891759700946,383.0499491325054,1.0,identified
10,R4_truncate_60,424.0063347254819,412.95295701378586,435.290363535739,1.0,identified
11,R4_truncate_60,425.9357546765032,417.07744408796304,435.4349292075267,1.0,identified
12,R4_truncate_60,427.6216585135323,413.7462992940808,439.6789142651326,1.0,identified
13,R4_truncate_60,427.92278043075373,418.1096722790001,439.2561766523435,1.0,identified
14,R4_truncate_60,423.1205218224898,414.96466883223854,431.82633112021034,1.0,identified
